ts,x,y,z,qw,qx,qy,qz
1403636581253555456,-1.672818,-4.724114,1.029198,0.337865,-0.659146,-0.460952,-0.488772
1403636581258555392,-1.672799,-4.724224,1.031382,0.338351,-0.658742,-0.460673,-0.489241
1403636581263555584,-1.672784,-4.724348,1.033520,0.338825,-0.658306,-0.460441,-0.489719
1403636581268555520,-1.672771,-4.724485,1.035608,0.339283,-0.657844,-0.460246,-0.490206
1403636581273555456,-1.672760,-4.724637,1.037640,0.339711,-0.657371,-0.460081,-0.490699
1403636581278555392,-1.672752,-4.724803,1.039610,0.340097,-0.656902,-0.459937,-0.491194
1403636581283555584,-1.672687,-4.724931,1.041514,0.340437,-0.656440,-0.459801,-0.491703
1403636581288555264,-1.672671,-4.725112,1.043348,0.340742,-0.655997,-0.459654,-0.492220
1403636581293555456,-1.672660,-4.725304,1.045111,0.341027,-0.655575,-0.459481,-0.492746
1403636581298555648,-1.672656,-4.725506,1.046797,0.341308,-0.655171,-0.459280,-0.493276
1403636581303555584,-1.672661,-4.725711,1.048402,0.341583,-0.654793,-0.459058,-0.493796
1403636581308555520,-1.672677,-4.725919,1.049929,0.341862,-0.654438,-0.458812,-0.494301
1403636581313555456,-1.672706,-4.726127,1.051374,0.342157,-0.654104,-0.458550,-0.494781
1403636581318555648,-1.672745,-4.726333,1.052741,0.342465,-0.653792,-0.458276,-0.495234
1403636581323555584,-1.672793,-4.726538,1.054027,0.342777,-0.653503,-0.457994,-0.495661
1403636581328555520,-1.672843,-4.726742,1.055234,0.343077,-0.653238,-0.457721,-0.496054
1403636581333555456,-1.672830,-4.726899,1.056349,0.343357,-0.652987,-0.457462,-0.496429
1403636581338555648,-1.672866,-4.727093,1.057390,0.343602,-0.652751,-0.457224,-0.496790
1403636581343555328,-1.672897,-4.727287,1.058347,0.343813,-0.652525,-0.457013,-0.497135
1403636581348555520,-1.672926,-4.727482,1.059221,0.343985,-0.652304,-0.456833,-0.497471
1403636581353555456,-1.672948,-4.727681,1.060008,0.344112,-0.652086,-0.456690,-0.497800
1403636581358555648,-1.672962,-4.727884,1.060706,0.344181,-0.651875,-0.456581,-0.498128
1403636581363555328,-1.672964,-4.728093,1.061314,0.344183,-0.651682,-0.456500,-0.498454
1403636581368555520,-1.672954,-4.728309,1.061830,0.344117,-0.651508,-0.456443,-0.498779
1403636581373555456,-1.672932,-4.728531,1.062255,0.343994,-0.651352,-0.456405,-0.499102
1403636581378555648,-1.672902,-4.728760,1.062589,0.343823,-0.651205,-0.456393,-0.499423
1403636581383555328,-1.672867,-4.728992,1.062833,0.343613,-0.651065,-0.456409,-0.499735
1403636581388555520,-1.672753,-4.729182,1.062961,0.343383,-0.650937,-0.456438,-0.500033
1403636581393555456,-1.672699,-4.729417,1.063021,0.343141,-0.650832,-0.456470,-0.500306
1403636581398555392,-1.672642,-4.729658,1.062989,0.342890,-0.650750,-0.456504,-0.500554
1403636581403555328,-1.672585,-4.729902,1.062865,0.342633,-0.650690,-0.456541,-0.500775
1403636581408555520,-1.672530,-4.730151,1.062649,0.342371,-0.650658,-0.456587,-0.500953
1403636581413555456,-1.672476,-4.730399,1.062339,0.342111,-0.650650,-0.456645,-0.501088
1403636581418555392,-1.672424,-4.730645,1.061936,0.341849,-0.650661,-0.456724,-0.501182
1403636581423555584,-1.672374,-4.730887,1.061442,0.341582,-0.650688,-0.456829,-0.501233
1403636581428555520,-1.672324,-4.731121,1.060857,0.341314,-0.650722,-0.456960,-0.501252
1403636581433555712,-1.672273,-4.731349,1.060182,0.341041,-0.650750,-0.457122,-0.501254
1403636581438555392,-1.672219,-4.731572,1.059417,0.340746,-0.650768,-0.457322,-0.501249
1403636581443555584,-1.672163,-4.731788,1.058564,0.340409,-0.650786,-0.457556,-0.501239
1403636581448555520,-1.672103,-4.732003,1.057620,0.340041,-0.650809,-0.457816,-0.501223
1403636581453555456,-1.672041,-4.732217,1.056587,0.339646,-0.650837,-0.458099,-0.501196
1403636581458555392,-1.671976,-4.732433,1.055465,0.339216,-0.650879,-0.458405,-0.501152
1403636581463555584,-1.671908,-4.732654,1.054256,0.338757,-0.650939,-0.458725,-0.501092
1403636581468555520,-1.671840,-4.732884,1.052962,0.338275,-0.651018,-0.459051,-0.501017
1403636581473555456,-1.671772,-4.733121,1.051589,0.337777,-0.651110,-0.459383,-0.500929
1403636581478555392,-1.671706,-4.733363,1.050136,0.337276,-0.651216,-0.459716,-0.500823
1403636581483555584,-1.671643,-4.733610,1.048607,0.336778,-0.651341,-0.460044,-0.500694
1403636581488555520,-1.671584,-4.733859,1.047006,0.336289,-0.651493,-0.460365,-0.500530
1403636581493555456,-1.671528,-4.734107,1.045332,0.335821,-0.651675,-0.460677,-0.500320
1403636581498555392,-1.671473,-4.734350,1.043590,0.335382,-0.651885,-0.460968,-0.500073
1403636581503555584,-1.671416,-4.734587,1.041779,0.334969,-0.652131,-0.461226,-0.499791
1403636581508555520,-1.671355,-4.734813,1.039900,0.334581,-0.652414,-0.461451,-0.499473
1403636581513555456,-1.671285,-4.735025,1.037953,0.334212,-0.652723,-0.461645,-0.499138
1403636581518555392,-1.671209,-4.735221,1.035937,0.333855,-0.653054,-0.461810,-0.498791
1403636581523555584,-1.671127,-4.735400,1.033852,0.333513,-0.653400,-0.461955,-0.498433
1403636581528555520,-1.671043,-4.735558,1.031699,0.333193,-0.653750,-0.462086,-0.498066
1403636581533555456,-1.670962,-4.735702,1.029476,0.332906,-0.654105,-0.462202,-0.497684
1403636581538555392,-1.670886,-4.735831,1.027183,0.332649,-0.654468,-0.462301,-0.497286
1403636581543555584,-1.670816,-4.735952,1.024822,0.332416,-0.654855,-0.462373,-0.496866
1403636581548555520,-1.670754,-4.736069,1.022392,0.332191,-0.655269,-0.462427,-0.496421
1403636581553555456,-1.670700,-4.736182,1.019900,0.331959,-0.655704,-0.462481,-0.495950
1403636581558555648,-1.670652,-4.736298,1.017354,0.331719,-0.656148,-0.462540,-0.495469
1403636581563555584,-1.670607,-4.736415,1.014760,0.331475,-0.656589,-0.462609,-0.494983
1403636581568555520,-1.670559,-4.736537,1.012127,0.331232,-0.657029,-0.462692,-0.494484
1403636581573555456,-1.670505,-4.736663,1.009461,0.330992,-0.657465,-0.462789,-0.493974
1403636581578555648,-1.670443,-4.736790,1.006767,0.330760,-0.657887,-0.462899,-0.493464
1403636581583555584,-1.670375,-4.736915,1.004050,0.330548,-0.658284,-0.463029,-0.492954
1403636581588555520,-1.670304,-4.737038,1.001309,0.330367,-0.658646,-0.463196,-0.492434
1403636581593555456,-1.670233,-4.737158,0.998542,0.330209,-0.658968,-0.463405,-0.491913
1403636581598555648,-1.670162,-4.737273,0.995746,0.330061,-0.659253,-0.463651,-0.491400
1403636581603555328,-1.670091,-4.737386,0.992916,0.329921,-0.659514,-0.463919,-0.490890
1403636581608555520,-1.670020,-4.737495,0.990048,0.329788,-0.659763,-0.464200,-0.490379
1403636581613555456,-1.669953,-4.737601,0.987141,0.329680,-0.660008,-0.464472,-0.489864
1403636581618555648,-1.669890,-4.737705,0.984193,0.329610,-0.660263,-0.464710,-0.489341
1403636581623555328,-1.669833,-4.737807,0.981205,0.329577,-0.660528,-0.464903,-0.488821
1403636581628555520,-1.669779,-4.737909,0.978180,0.329567,-0.660805,-0.465045,-0.488319
1403636581633555456,-1.669725,-4.738015,0.975121,0.329564,-0.661105,-0.465123,-0.487841
1403636581638555648,-1.669664,-4.738128,0.972033,0.329553,-0.661434,-0.465136,-0.487390
1403636581643555328,-1.669592,-4.738249,0.968918,0.329516,-0.661798,-0.465096,-0.486959
1403636581648555520,-1.669506,-4.738379,0.965784,0.329434,-0.662191,-0.465023,-0.486548
1403636581653555456,-1.669405,-4.738513,0.962638,0.329300,-0.662591,-0.464951,-0.486164
1403636581658555392,-1.669290,-4.738651,0.959486,0.329117,-0.662964,-0.464906,-0.485823
1403636581663555328,-1.669166,-4.738788,0.956338,0.328900,-0.663288,-0.464904,-0.485529
1403636581668555520,-1.669032,-4.738923,0.953193,0.328665,-0.663551,-0.464964,-0.485270
1403636581673555712,-1.668888,-4.739058,0.950053,0.328422,-0.663744,-0.465090,-0.485051
1403636581678555392,-1.668736,-4.739195,0.946914,0.328158,-0.663873,-0.465284,-0.484867
1403636581683555584,-1.668577,-4.739333,0.943773,0.327870,-0.663949,-0.465545,-0.484707
1403636581688555520,-1.668417,-4.739475,0.940623,0.327578,-0.663978,-0.465863,-0.484559
1403636581693555712,-1.668260,-4.739620,0.937461,0.327300,-0.663975,-0.466223,-0.484405
1403636581698555392,-1.668115,-4.739768,0.934281,0.327059,-0.663957,-0.466607,-0.484222
1403636581703555584,-1.667980,-4.739920,0.931080,0.326884,-0.663940,-0.466979,-0.484005
1403636581708555520,-1.667856,-4.740075,0.927856,0.326799,-0.663946,-0.467295,-0.483750
1403636581713555456,-1.667737,-4.740235,0.924608,0.326809,-0.663993,-0.467524,-0.483456
1403636581718555392,-1.667623,-4.740400,0.921341,0.326897,-0.664090,-0.467652,-0.483141
1403636581723555584,-1.667511,-4.740568,0.918056,0.327050,-0.664235,-0.467678,-0.482812
1403636581728555520,-1.667400,-4.740739,0.914756,0.327250,-0.664403,-0.467631,-0.482491
1403636581733555456,-1.667293,-4.740911,0.911445,0.327469,-0.664583,-0.467541,-0.482182
1403636581738555392,-1.667192,-4.741083,0.908125,0.327665,-0.664757,-0.467445,-0.481902
1403636581743555584,-1.667095,-4.741258,0.904802,0.327812,-0.664915,-0.467370,-0.481656
1403636581748555520,-1.667002,-4.741435,0.901481,0.327896,-0.665049,-0.467330,-0.481452
1403636581753555456,-1.666911,-4.741617,0.898166,0.327914,-0.665144,-0.467340,-0.481299
1403636581758555392,-1.666827,-4.741805,0.894857,0.327879,-0.665194,-0.467412,-0.481185
1403636581763555584,-1.666754,-4.741998,0.891555,0.327817,-0.665208,-0.467536,-0.481086
1403636581768555520,-1.666697,-4.742198,0.888259,0.327776,-0.665186,-0.467699,-0.480987
1403636581773555456,-1.666658,-4.742405,0.884966,0.327776,-0.665127,-0.467895,-0.480878
1403636581778555392,-1.666639,-4.742623,0.881672,0.327815,-0.665042,-0.468121,-0.480749
1403636581783555584,-1.666640,-4.742855,0.878374,0.327894,-0.664950,-0.468365,-0.480583
1403636581788555264,-1.666661,-4.743102,0.875067,0.328014,-0.664867,-0.468614,-0.480374
1403636581793555456,-1.666698,-4.743363,0.871749,0.328171,-0.664809,-0.468853,-0.480114
1403636581798555648,-1.666747,-4.743638,0.868418,0.328363,-0.664795,-0.469066,-0.479794
1403636581803555584,-1.666806,-4.743921,0.865078,0.328591,-0.664824,-0.469241,-0.479426
1403636581808555520,-1.666870,-4.744209,0.861730,0.328844,-0.664887,-0.469381,-0.479029
1403636581813555456,-1.666937,-4.744496,0.858380,0.329113,-0.664965,-0.469495,-0.478624
1403636581818555648,-1.667002,-4.744780,0.855033,0.329374,-0.665038,-0.469593,-0.478246
1403636581823555584,-1.667059,-4.745059,0.851688,0.329587,-0.665102,-0.469687,-0.477918
1403636581828555520,-1.667110,-4.745330,0.848345,0.329729,-0.665168,-0.469784,-0.477633
1403636581833555456,-1.667151,-4.745594,0.845002,0.329795,-0.665238,-0.469889,-0.477387
1403636581838555648,-1.667186,-4.745854,0.841659,0.329794,-0.665312,-0.469989,-0.477185
1403636581843555328,-1.667215,-4.746112,0.838315,0.329730,-0.665404,-0.470074,-0.477019
1403636581848555520,-1.667242,-4.746375,0.834972,0.329612,-0.665519,-0.470142,-0.476872
1403636581853555456,-1.667273,-4.746640,0.831628,0.329460,-0.665658,-0.470197,-0.476729
1403636581858555648,-1.667315,-4.746907,0.828283,0.329292,-0.665819,-0.470258,-0.476560
1403636581863555328,-1.667376,-4.747175,0.824941,0.329132,-0.665997,-0.470339,-0.476342
1403636581868555520,-1.667461,-4.747444,0.821601,0.329019,-0.666193,-0.470426,-0.476060
1403636581873555456,-1.667571,-4.747712,0.818268,0.328959,-0.666412,-0.470513,-0.475708
1403636581878555648,-1.667702,-4.747981,0.814944,0.328953,-0.666650,-0.470601,-0.475292
1403636581883555328,-1.662543,-4.745903,0.807945,0.329002,-0.666883,-0.470680,-0.474853
1403636581888555520,-1.662609,-4.746137,0.804560,0.329070,-0.667155,-0.470759,-0.474345
1403636581893555456,-1.662685,-4.746367,0.801189,0.329134,-0.667443,-0.470850,-0.473804
1403636581898555392,-1.662767,-4.746595,0.797831,0.329185,-0.667742,-0.470949,-0.473249
1403636581903555328,-1.662849,-4.746819,0.794488,0.329213,-0.668052,-0.471045,-0.472696
1403636581908555520,-1.662929,-4.747043,0.791158,0.329197,-0.668383,-0.471132,-0.472153
1403636581913555456,-1.663004,-4.747268,0.787843,0.329118,-0.668738,-0.471206,-0.471631
1403636581918555392,-1.663067,-4.747496,0.784541,0.328968,-0.669114,-0.471263,-0.471145
1403636581923555584,-1.663123,-4.747728,0.781255,0.328732,-0.669503,-0.471303,-0.470718
1403636581928555520,-1.663169,-4.747968,0.777984,0.328406,-0.669903,-0.471337,-0.470341
1403636581933555712,-1.663211,-4.748214,0.774730,0.327993,-0.670321,-0.471362,-0.470008
1403636581938555392,-1.663254,-4.748463,0.771491,0.327518,-0.670755,-0.471387,-0.469695
1403636581943555584,-1.663297,-4.748710,0.768266,0.327010,-0.671203,-0.471421,-0.469375
1403636581948555520,-1.663344,-4.748954,0.765058,0.326490,-0.671670,-0.471461,-0.469029
1403636581953555456,-1.663397,-4.749187,0.761866,0.325983,-0.672158,-0.471497,-0.468646
1403636581958555392,-1.663457,-4.749407,0.758697,0.325520,-0.672661,-0.471526,-0.468218
1403636581963555584,-1.663525,-4.749610,0.755548,0.325115,-0.673172,-0.471545,-0.467745
1403636581968555520,-1.663598,-4.749795,0.752423,0.324769,-0.673688,-0.471555,-0.467232
1403636581973555456,-1.663674,-4.749966,0.749323,0.324464,-0.674205,-0.471562,-0.466691
1403636581978555392,-1.663748,-4.750124,0.746249,0.324178,-0.674725,-0.471563,-0.466136
1403636581983555584,-1.663815,-4.750274,0.743196,0.323877,-0.675246,-0.471574,-0.465580
1403636581988555520,-1.663766,-4.750479,0.739938,0.323522,-0.675766,-0.471605,-0.465041
1403636581993555456,-1.663812,-4.750633,0.736911,0.323097,-0.676288,-0.471665,-0.464516
1403636581998555392,-1.663854,-4.750790,0.733907,0.322605,-0.676802,-0.471750,-0.464023
1403636582003555584,-1.663894,-4.750952,0.730929,0.322046,-0.677302,-0.471866,-0.463564
1403636582008555520,-1.663935,-4.751120,0.727977,0.321424,-0.677785,-0.472016,-0.463136
1403636582013555456,-1.663980,-4.751294,0.725055,0.320763,-0.678246,-0.472194,-0.462737
1403636582018555392,-1.664032,-4.751474,0.722161,0.320075,-0.678689,-0.472401,-0.462353
1403636582023555584,-1.664096,-4.751659,0.719299,0.319384,-0.679118,-0.472629,-0.461968
1403636582028555520,-1.664171,-4.751847,0.716471,0.318715,-0.679536,-0.472870,-0.461568
1403636582033555456,-1.664256,-4.752035,0.713677,0.318083,-0.679962,-0.473106,-0.461136
1403636582038555392,-1.664350,-4.752221,0.710919,0.317495,-0.680406,-0.473327,-0.460659
1403636582043555584,-1.664451,-4.752402,0.708201,0.316957,-0.680859,-0.473537,-0.460143
1403636582048555520,-1.664557,-4.752573,0.705527,0.316475,-0.681315,-0.473741,-0.459590
1403636582053555456,-1.664670,-4.752736,0.702902,0.316049,-0.681762,-0.473945,-0.459010
1403636582058555648,-1.664786,-4.752886,0.700329,0.315659,-0.682195,-0.474155,-0.458417
1403636582063555584,-1.664902,-4.753028,0.697808,0.315296,-0.682611,-0.474378,-0.457816
1403636582068555520,-1.665018,-4.753160,0.695340,0.314933,-0.683010,-0.474626,-0.457214
1403636582073555456,-1.665131,-4.753285,0.692925,0.314555,-0.683394,-0.474902,-0.456613
1403636582078555648,-1.665241,-4.753410,0.690561,0.314160,-0.683764,-0.475198,-0.456023
1403636582083555584,-1.665312,-4.753675,0.688105,0.313739,-0.684123,-0.475509,-0.455450
1403636582088555520,-1.665422,-4.753816,0.685830,0.313295,-0.684476,-0.475844,-0.454875
1403636582093555456,-1.665537,-4.753960,0.683607,0.312835,-0.684815,-0.476201,-0.454307
1403636582098555648,-1.665659,-4.754106,0.681436,0.312370,-0.685138,-0.476578,-0.453745
1403636582103555328,-1.665791,-4.754252,0.679320,0.311909,-0.685442,-0.476973,-0.453188
1403636582108555520,-1.665932,-4.754401,0.677262,0.311463,-0.685727,-0.477379,-0.452636
1403636582113555456,-1.666086,-4.754549,0.675266,0.311045,-0.685998,-0.477782,-0.452087
1403636582118555648,-1.666252,-4.754694,0.673332,0.310657,-0.686267,-0.478173,-0.451532
1403636582123555328,-1.666431,-4.754837,0.671466,0.310305,-0.686544,-0.478544,-0.450959
1403636582128555520,-1.666621,-4.754973,0.669668,0.310008,-0.686829,-0.478882,-0.450368
1403636582133555456,-1.666820,-4.755103,0.667939,0.309774,-0.687131,-0.479177,-0.449756
1403636582138555648,-1.667028,-4.755296,0.666259,0.309588,-0.687455,-0.479423,-0.449127
1403636582143555328,-1.667237,-4.755422,0.664673,0.309446,-0.687785,-0.479636,-0.448491
1403636582148555520,-1.667448,-4.755537,0.663162,0.309343,-0.688100,-0.479834,-0.447867
1403636582153555456,-1.667658,-4.755644,0.661726,0.309258,-0.688400,-0.480024,-0.447260
1403636582158555392,-1.667866,-4.755746,0.660365,0.309167,-0.688678,-0.480225,-0.446679
1403636582163555328,-1.668067,-4.755842,0.659077,0.309050,-0.688933,-0.480452,-0.446123
1403636582168555520,-1.668265,-4.755932,0.657862,0.308894,-0.689171,-0.480710,-0.445584
1403636582173555712,-1.668456,-4.756018,0.656719,0.308704,-0.689392,-0.480998,-0.445063
1403636582178555392,-1.668643,-4.756097,0.655650,0.308480,-0.689596,-0.481316,-0.444558
1403636582183555584,-1.668825,-4.756168,0.654660,0.308245,-0.689783,-0.481651,-0.444068
1403636582188555520,-1.669012,-4.756304,0.653748,0.308011,-0.689951,-0.481990,-0.443602
1403636582193555712,-1.669189,-4.756369,0.652923,0.307794,-0.690108,-0.482317,-0.443153
1403636582198555392,-1.669364,-4.756423,0.652183,0.307609,-0.690254,-0.482627,-0.442715
1403636582203555584,-1.669534,-4.756463,0.651528,0.307449,-0.690400,-0.482914,-0.442287
1403636582208555520,-1.669699,-4.756492,0.650957,0.307306,-0.690547,-0.483174,-0.441872
1403636582213555456,-1.669856,-4.756508,0.650470,0.307171,-0.690694,-0.483412,-0.441477
1403636582218555392,-1.670007,-4.756512,0.650068,0.307034,-0.690844,-0.483630,-0.441097
1403636582223555584,-1.670151,-4.756501,0.649750,0.306908,-0.690994,-0.483827,-0.440734
1403636582228555520,-1.670288,-4.756477,0.649518,0.306790,-0.691139,-0.484006,-0.440392
1403636582233555456,-1.670419,-4.756439,0.649374,0.306671,-0.691275,-0.484178,-0.440072
1403636582238555392,-1.670549,-4.756462,0.649327,0.306549,-0.691396,-0.484347,-0.439781
1403636582243555584,-1.670665,-4.756407,0.649363,0.306424,-0.691508,-0.484512,-0.439510
1403636582248555520,-1.670775,-4.756339,0.649490,0.306292,-0.691609,-0.484673,-0.439265
1403636582253555456,-1.670879,-4.756257,0.649709,0.306167,-0.691701,-0.484828,-0.439037
1403636582258555392,-1.670980,-4.756159,0.650022,0.306066,-0.691781,-0.484972,-0.438822
1403636582263555584,-1.671079,-4.756048,0.650428,0.305989,-0.691847,-0.485115,-0.438614
1403636582268555520,-1.671178,-4.755921,0.650932,0.305942,-0.691902,-0.485256,-0.438403
1403636582273555456,-1.671279,-4.755783,0.651533,0.305937,-0.691939,-0.485391,-0.438199
1403636582278555392,-1.671383,-4.755633,0.652231,0.305962,-0.691958,-0.485521,-0.438009
1403636582283555584,-1.671491,-4.755474,0.653026,0.305996,-0.691965,-0.485647,-0.437833
